"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
260001885402,"JOEL ROSA DOS SANTOS","Aracaju","SE","Vereador","CIDADANIA","Não Eleito","MASC.","PARDA",NA,17,2024
260001885406,"PAULO MÁRCIO RAMOS CRUZ","Aracaju","SE","Vereador","PSDB","Não Eleito","MASC.","PARDA",NA,114,2024
260001885410,"ROGÉRIO SOUZA DE CARVALHO","Aracaju","SE","Vereador","PSDB","Não Eleito","MASC.","INDÍGENA",NA,268,2024
260001885420,"LUCIENE ALMEIDA DE LIMA","Aracaju","SE","Vereador","PSDB","Não Eleito","FEM.","PARDA",NA,297,2024
260001885421,"MARCONE DE SANTANA BOMFIM","Aracaju","SE","Vereador","PSDB","Não Eleito","MASC.","BRANCA",NA,58,2024
260001885423,"FERNANDA ALMEIDA FARINE","Aracaju","SE","Vereador","PSDB","Não Eleito","FEM.","BRANCA",NA,441,2024
260001885424,"MELLISSA ROLLEMBERG CAMBOIM","Aracaju","SE","Vereador","PSDB","Não Eleito","FEM.","BRANCA",NA,875,2024
260001908298,"BELIVALDO CHAGAS SILVA","Aracaju","SE","Vice-prefeito","PODE","Não Eleito","MASC.","BRANCA",NA,43932,2024
260001908314,"ALEX SANTOS DE SANTANA","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,90,2024
260001908316,"FABIO ROBERTO ALVES DOS SANTOS","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,364,2024
260001908317,"GILDO DOS SANTOS BARBOSA","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,171,2024
260001908319,"RAFAEL TAVARES SANTOS","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PRETA",NA,97,2024
260001908322,"VIVIANE DA SILVA","Aracaju","SE","Vereador","PRD","Suplente","FEM.","AMARELA",NA,288,2024
260001908323,"JONELILDO CORREA DOS SANTOS","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PRETA",NA,172,2024
260001908325,"REJANE BARRETO SANTOS TELES","Aracaju","SE","Vereador","PRD","Suplente","FEM.","PRETA",NA,488,2024
260001908326,"THIAGO NASCIMENTO SILVA","Aracaju","SE","Vereador","PRD","Suplente","MASC.","BRANCA",NA,1395,2024
260001908327,"KEYSLLA DA SILVA VALENÇA FONSECA","Aracaju","SE","Vereador","PRD","Suplente","FEM.","BRANCA",NA,57,2024
260001908328,"OTONIEL RODRIGUES AMADO JUNIOR","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,417,2024
260001908330,"ANDERSON VIDAL DA SILVA","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,610,2024
260001908334,"DAGNA OLIVEIRA DA SILVA","Aracaju","SE","Vereador","PRD","Suplente","FEM.","PARDA",NA,138,2024
260001908335,"PAULA PINHO DAMASCENO","Aracaju","SE","Vereador","PRD","Suplente","FEM.","PARDA",NA,70,2024
260001908336,"PAULO ROBERTO LIMA BASTOS","Aracaju","SE","Vereador","PRD","","MASC.","BRANCA",NA,NA,2024
260001908337,"WANIA WALENSKA DE SANTANA MACEDO AGUIAR","Aracaju","SE","Vereador","PRD","Suplente","FEM.","PARDA",NA,227,2024
260001908338,"ALEXANDRE AUGUSTO DA SILVA","Aracaju","SE","Vereador","PRD","Suplente","MASC.","BRANCA",NA,328,2024
260001908339,"EDMO OLIVEIRA SANTOS","Aracaju","SE","Vereador","PRD","Suplente","MASC.","PARDA",NA,370,2024
260001916954,"ROMILDO DE OLIVEIRA PORTO JUNIOR","Aracaju","SE","Vereador","UNIÃO","Suplente","MASC.","BRANCA",NA,2487,2024
260001916955,"EDENISE NUNES DE ARAUJO","Aracaju","SE","Vereador","UNIÃO","","FEM.","PARDA",NA,NA,2024
260001916959,"IRAILTON MATIAS DOS SANTOS","Aracaju","SE","Vereador","UNIÃO","Suplente","MASC.","BRANCA",NA,87,2024
