"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
260000637329,"Antonio Carlos Valadares Filho","Aracaju","SE","Vice-prefeito","PSB","2º Turno","MASC.","BRANCA",NA,0,2020
260000637329,"Antonio Carlos Valadares Filho","Aracaju","SE","Vice-prefeito","PSB","Não Eleito","MASC.","BRANCA",NA,0,2020
260000743433,"Alda Rejane Arruda Da Silva","Aracaju","SE","Vice-prefeito","PMB","Não Eleito","FEM.","PARDA",NA,0,2020
260000835178,"José Péricles Menezes De Oliveira","Aracaju","SE","Vice-prefeito","DEM","Não Eleito","MASC.","PARDA",NA,0,2020
260000857749,"Davi Lima Valente Calazans","Aracaju","SE","Vice-prefeito","AVANTE","Não Eleito","MASC.","PRETA",NA,0,2020
260000935641,"Luis Eduardo Prado Correia","Aracaju","SE","Vice-prefeito","PRTB","Não Eleito","MASC.","PARDA",NA,0,2020
260000935815,"Waltemir Augusto Da Silva","Aracaju","SE","Vice-prefeito","PSTU","Não Eleito","MASC.","PRETA",NA,0,2020
260000958768,"Ana Lucia Vieira Menezes","Aracaju","SE","Vice-prefeito","PT","Não Eleito","FEM.","BRANCA",NA,0,2020
260000983414,"Katarina Feitoza Lima Santana","Aracaju","SE","Vice-prefeito","PSD","2º Turno","FEM.","BRANCA",NA,0,2020
260000983414,"Katarina Feitoza Lima Santana","Aracaju","SE","Vice-prefeito","PSD","Eleito","FEM.","BRANCA",NA,0,2020
260001037486,"Simone Santos Vieira","Aracaju","SE","Vice-prefeito","DC","Não Eleito","FEM.","BRANCA",NA,0,2020
260001065878,"Maria Vanilda Rodrigues De Moraes Mafort","Aracaju","SE","Vice-prefeito","PSL","Não Eleito","FEM.","BRANCA",NA,0,2020
260001087379,"Ana Carolina Santana Quintiliano","Aracaju","SE","Vice-prefeito","PSOL","Não Eleito","FEM.","PARDA",NA,0,2020
260000743434,"Juraci Nunes De Carvalho Junior","Aracaju","SE","Prefeito","PMB","Não Eleito","MASC.","BRANCA",4200,288,2020
260000935814,"Gilvani Alves Dos Santos","Aracaju","SE","Prefeito","PSTU","Não Eleito","FEM.","PRETA",12285,568,2020
260001037485,"PAULO MÁRCIO RAMOS CRUZ","Aracaju","SE","Prefeito","DC","Não Eleito","MASC.","PARDA",16334.46,634,2020
260000935642,"JOSÉ ALMEIDA LIMA","Aracaju","SE","Prefeito","PRTB","Não Eleito","MASC.","PARDA",31589.77,572,2020
260000857748,"Lúcio Flávio Miranda Da Rocha","Aracaju","SE","Prefeito","AVANTE","Não Eleito","MASC.","PARDA",58179.43,12448,2020
260001087378,"ALEXIS MAGNUM AZEVEDO DE JESUS","Aracaju","SE","Prefeito","PSOL","Não Eleito","MASC.","PRETA",95115.85,8352,2020
260000835177,"GEORLIZE OLIVEIRA COSTA TELES","Aracaju","SE","Prefeito","DEM","Não Eleito","FEM.","BRANCA",1155170,10458,2020
260000958767,"Márcio Costa Macêdo","Aracaju","SE","Prefeito","PT","Não Eleito","MASC.","BRANCA",1296255.77,25070,2020
260000637328,"Danielle Garcia Alves Soares","Aracaju","SE","Prefeito","CIDADANIA","2º Turno","FEM.","PARDA",2545377.69,165837,2020
260000637328,"Danielle Garcia Alves Soares","Aracaju","SE","Prefeito","CIDADANIA","Não Eleito","FEM.","PARDA",2545377.69,165837,2020
260001065879,"Rodrigo Santana Valadares","Aracaju","SE","Prefeito","PTB","Não Eleito","MASC.","BRANCA",3155500,28598,2020
260000983413,"Edvaldo Nogueira Filho","Aracaju","SE","Prefeito","PDT","2º Turno","MASC.","PARDA",4149731.35,270504,2020
260000983413,"Edvaldo Nogueira Filho","Aracaju","SE","Prefeito","PDT","Eleito","MASC.","PARDA",4149731.35,270504,2020
140000637324,"Ana Lúcia Souza Da Silva","Belém","PA","Vice-prefeito","PSTU","Não Eleito","FEM.","PRETA",NA,0,2020
140000698876,"Diamantina Pastana Do Nascimento","Belém","PA","Vice-prefeito","PTC","Não Eleito","FEM.","PARDA",NA,0,2020
140000744290,"EDILSON MOURA DA SILVA","Belém","PA","Vice-prefeito","PT","2º Turno","MASC.","PRETA",NA,0,2020
140000744290,"EDILSON MOURA DA SILVA","Belém","PA","Vice-prefeito","PT","Eleito","MASC.","PRETA",NA,0,2020
140000762462,"Ana Paula Favacho Da Silveira Andrade","Belém","PA","Vice-prefeito","PMB","Não Eleito","FEM.","PARDA",NA,0,2020
140000762517,"Carlos Gonçalves Da Costa","Belém","PA","Vice-prefeito","REPUBLICANOS","Não Eleito","MASC.","PARDA",NA,0,2020
140000801173,"Max Pereira De Lima","Belém","PA","Vice-prefeito","PROS","Não Eleito","MASC.","PARDA",NA,0,2020
140001125825,"Patricia Luila Viana Queiroz","Belém","PA","Vice-prefeito","PSC","Não Eleito","FEM.","PARDA",NA,0,2020
140001192971,"Cristiano Soares Sobral De Souza","Belém","PA","Vice-prefeito","PCO","Não Eleito","MASC.","BRANCA",NA,0,2020
140001194404,"Alexandre Padilla Nascimento Filho","Belém","PA","Vice-prefeito","PP","Não Eleito","MASC.","BRANCA",NA,0,2020
140001196860,"Edemberg Quemer Costa Da Mota","Belém","PA","Vice-prefeito","PATRIOTA","2º Turno","MASC.","PARDA",NA,0,2020
140001196860,"Edemberg Quemer Costa Da Mota","Belém","PA","Vice-prefeito","PATRIOTA","Não Eleito","MASC.","PARDA",NA,0,2020
140001226723,"Marinalva Muniz Da Silva","Belém","PA","Vice-prefeito","PSDB","Não Eleito","FEM.","PRETA",NA,0,2020
140001230532,"Samir Tadeu Ferreira Santos","Belém","PA","Vice-prefeito","PRTB","Nulo","MASC.","PRETA",NA,0,2020
140001274817,"LUIZ ALEXANDRE REZENDE SOTAO","Belém","PA","Vice-prefeito","PRTB","Não Eleito","MASC.","PARDA",NA,0,2020
140001192970,"Jair Lopes Correia","Belém","PA","Prefeito","PCO","Não Eleito","MASC.","BRANCA",1000,0,2020
140000762463,"Jose Jeronimo De Sousa","Belém","PA","Prefeito","PMB","Não Eleito","MASC.","PARDA",4148,759,2020
140000637323,"José Cleber Barros Rabelo","Belém","PA","Prefeito","PSTU","Não Eleito","MASC.","PARDA",14000,1026,2020
140001230533,"Mario Couto Filho","Belém","PA","Prefeito","PRTB","Não Eleito","MASC.","PARDA",59400,0,2020
140000698875,"Luiz Guilherme Lessa De França","Belém","PA","Prefeito","PTC","Não Eleito","MASC.","PARDA",159900,2417,2020
140001196861,"EVERALDO JORGE MARTINS EGUCHI","Belém","PA","Prefeito","PATRIOTA","2º Turno","MASC.","PARDA",423180.49,531694,2020
140001196861,"EVERALDO JORGE MARTINS EGUCHI","Belém","PA","Prefeito","PATRIOTA","Não Eleito","MASC.","PARDA",423180.49,531694,2020
140000762516,"Wagner Bach Martins","Belém","PA","Prefeito","REPUBLICANOS","Não Eleito","MASC.","BRANCA",531195.35,49476,2020
140001194405,"Gustavo Bemerguy Sefer","Belém","PA","Prefeito","PSD","Não Eleito","MASC.","BRANCA",801570.6,22996,2020
140000801174,"Cassio Coelho Andrade","Belém","PA","Prefeito","PSB","Não Eleito","MASC.","PARDA",969620.22,49988,2020
