"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
260000793304,"Manoel Santos Dos Anjos","Aracaju","SE","Vereador","SOLIDARIEDADE","Não Eleito","MASC.","PARDA",NA,0,2020
260001036855,"Felipe Romão Passos","Aracaju","SE","Vereador","PT","Não Eleito","MASC.","PRETA",NA,0,2020
260001187457,"Arline Virgens Campos Silva","Aracaju","SE","Vereador","PMN","Nulo","FEM.","PARDA",NA,0,2020
260001187471,"Jaqueline Suzan Dos Santos Franca","Aracaju","SE","Vereador","PMN","Nulo","FEM.","PARDA",NA,0,2020
260000637535,"Cleverton Silva Dos Santos","Aracaju","SE","Vereador","PSDB","Não Eleito","MASC.","PARDA",0,110,2020
260000757229,"DICLA SOARES DOS PRAZERES OLIVEIRA","Aracaju","SE","Vereador","REPUBLICANOS","Nulo","FEM.","BRANCA",0,0,2020
260000793278,"Alaine Bittencourt Lima","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,19,2020
260000793282,"Jacqueline Santos Torres","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,50,2020
260000793283,"Elisangela Souza Alves Doria","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","BRANCA",0,46,2020
260000793285,"Denise Simplício Alves","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,71,2020
260000793287,"Ariene Maria Da Conceição Maia","Aracaju","SE","Vereador","SOLIDARIEDADE","Nulo","FEM.","BRANCA",0,0,2020
260000793288,"Regiane Pagano De Paixão","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,64,2020
260000793297,"Emilio Santos Nascimento","Aracaju","SE","Vereador","SOLIDARIEDADE","Não Eleito","MASC.","PARDA",0,0,2020
260000793298,"MARCOS RENATO REIS","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","MASC.","PARDA",0,259,2020
260000793300,"Nícolas Jeferson Dos Santos Messias","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","MASC.","PARDA",0,0,2020
260000793302,"Horácia Gabriela Dos Santos","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,1,2020
260000793303,"ANTONIO BATISTA DOS SANTOS","Aracaju","SE","Vereador","SOLIDARIEDADE","Nulo","MASC.","PARDA",0,0,2020
260000793307,"Josefa Everalda Germano De Melo Filha","Aracaju","SE","Vereador","SOLIDARIEDADE","Suplente","FEM.","PARDA",0,2,2020
260000914595,"Licia Maria De Melo","Aracaju","SE","Vereador","PATRIOTA","Nulo","FEM.","BRANCA",0,0,2020
260000914600,"Gilmar Resende","Aracaju","SE","Vereador","PATRIOTA","Nulo","MASC.","PRETA",0,0,2020
260000914607,"Ilo De Aguiar Machado","Aracaju","SE","Vereador","PATRIOTA","Nulo","MASC.","PARDA",0,0,2020
260001036850,"CARLOS ANTÔNIO DOS SANTOS","Aracaju","SE","Vereador","PT","Nulo","MASC.","AMARELA",0,0,2020
260001036851,"Jessica Carvalho Macena Dos Santos","Aracaju","SE","Vereador","PT","Nulo","FEM.","BRANCA",0,0,2020
260001036858,"LUCAS DOS SANTOS","Aracaju","SE","Vereador","PT","Nulo","MASC.","PRETA",0,0,2020
260001036867,"Fabio Luiz Santos Quirino","Aracaju","SE","Vereador","PT","Não Eleito","MASC.","PRETA",0,0,2020
260001036869,"Ricardo Araujo Da Silva","Aracaju","SE","Vereador","PT","Suplente","MASC.","BRANCA",0,135,2020
260001036872,"Paulo Luiz Cardoso Da Silva","Aracaju","SE","Vereador","PT","Nulo","MASC.","BRANCA",0,0,2020
260001036877,"MARIA JOSÉ SILVA SANTOS","Aracaju","SE","Vereador","PT","Não Eleito","FEM.","AMARELA",0,0,2020
260001036879,"Augusto Vieira Lessa","Aracaju","SE","Vereador","PT","Suplente","MASC.","BRANCA",0,25,2020
260001036881,"Anderson José Costa De Oliveira","Aracaju","SE","Vereador","PT","Suplente","MASC.","BRANCA",0,116,2020
260001037759,"Gilvan Dos Santos Amarante","Aracaju","SE","Vereador","DC","Nulo","MASC.","PARDA",0,0,2020
260001037768,"Rubens Araujo","Aracaju","SE","Vereador","DC","Nulo","MASC.","PARDA",0,0,2020
260001038796,"Lucio Flavio Xavier Santos","Aracaju","SE","Vereador","PSD","Nulo","MASC.","PRETA",0,0,2020
260001137933,"Adriano Filgueiras Costa","Aracaju","SE","Vereador","PP","Nulo","MASC.","PARDA",0,0,2020
260001175622,"Wagner Antonio Dos Santos","Aracaju","SE","Vereador","PTB","Não Eleito","MASC.","PARDA",0,310,2020
260001175624,"Jean Muniz Moura","Aracaju","SE","Vereador","PTB","Nulo","MASC.","BRANCA",0,0,2020
260001175633,"JOSÉ ROBERTO FERREIRA","Aracaju","SE","Vereador","PTB","Nulo","MASC.","PARDA",0,0,2020
260001175640,"Robson Gonçalves Das Chagas","Aracaju","SE","Vereador","PTB","Não Eleito","MASC.","PARDA",0,5,2020
260001175641,"RUBENVAL OLIVEIRA MEIRA","Aracaju","SE","Vereador","PTB","Nulo","MASC.","PARDA",0,0,2020
260001175650,"Alberto Melo Santos","Aracaju","SE","Vereador","PTB","Não Eleito","MASC.","PRETA",0,14,2020
260001175652,"Luana Matias Luchini","Aracaju","SE","Vereador","PTB","Nulo","FEM.","BRANCA",0,0,2020
260001175653,"Raimundo Marques Gazineu","Aracaju","SE","Vereador","PTB","Não Eleito","MASC.","BRANCA",0,69,2020
260001183911,"Rosilene Da Silva Pinheiro","Aracaju","SE","Vereador","PSL","Não Eleito","FEM.","PRETA",0,0,2020
260001183929,"Ingrid Raiane Da Silva Barreto","Aracaju","SE","Vereador","PSL","Não Eleito","FEM.","PARDA",0,0,2020
260001187448,"ERICA FABIANA DE OLIVEIRA RIBEIRO","Aracaju","SE","Vereador","PMN","Suplente","FEM.","PARDA",0,2,2020
260001187449,"Sayonara Diana De Macedo Farias","Aracaju","SE","Vereador","PMN","Suplente","FEM.","BRANCA",0,2,2020
260001187452,"ANTONIO CARLOS DOS SANTOS","Aracaju","SE","Vereador","PMN","Suplente","MASC.","PRETA",0,58,2020
260001187453,"José Gomes De Andrade Filho","Aracaju","SE","Vereador","PMN","Não Eleito","MASC.","PARDA",0,0,2020
260001187454,"Flávia Dos Santos Duarte","Aracaju","SE","Vereador","PMN","Suplente","FEM.","PARDA",0,6,2020
260001187455,"Jose Soares Pinto","Aracaju","SE","Vereador","PMN","Suplente","MASC.","PARDA",0,371,2020
